36.080066, 140.115086
36.08043, 140.114834
36.080536, 140.114842
36.080554, 140.115012
36.080596, 140.115047
36.080673, 140.115232
36.080825, 140.115118
36.080748, 140.115091
36.080697, 140.115125
36.080630, 140.114962
36.080613, 140.114818
36.080789, 140.114690
36.080875, 140.114877
36.080857, 140.115032
36.080768, 140.115186
36.080651, 140.115274
36.080127, 140.115635
36.080086, 140.115620
36.080041, 140.115644
36.079900, 140.115728
36.079706, 140.115310
36.079561, 140.115405
36.079417, 140.115072
36.079290, 140.114904
36.080481, 140.114072
36.080626, 140.114002
36.080934, 140.113758
36.081379, 140.113454
36.081616, 140.114125
36.081965, 140.113881
36.082033, 140.113728
36.082149, 140.113626
36.082392, 140.113670
36.082475, 140.113848
36.082572, 140.113852
36.082113, 140.112947
36.080984, 140.113727
36.080825, 140.113754
36.080467, 140.114035
36.080346, 140.114145
36.079326, 140.114889
36.079424, 140.115118
36.079369, 140.115202
36.079212, 140.115288
36.079267, 140.115457
36.079422, 140.115353

